tempo_s,erro_posicao_m,erro_orientacao_deg
269.31,6.025556744562346,1.8102394437868203
269.32,6.030474672453073,1.810234926259456
269.33,6.035391770361048,1.810805298467912
269.34,6.040304220698136,1.8112542442392645
269.35,6.045221432044532,1.8111757606864802
269.36,6.05014581417949,1.8117561360075587
269.37,5.617579029183339,1.3440360671677847
269.37,5.622487461239968,1.3437323302552946
269.39,5.627396660290866,1.3435790249696606
269.39,5.632306752158392,1.3446113432396476
269.41,5.637215338467352,1.3445526153517064
269.42,5.642124374287346,1.344432473396184
269.43,5.647037142024969,1.3429397601074193
269.44,5.6519148821119325,1.3475124783377324
269.45,5.656813420899213,1.3482598035705378
269.46,5.661719284128963,1.3484254128653432
269.47,5.666627144251798,1.3503111530338683
269.47,5.671538711613219,1.351472314286325
269.49,5.676448158172724,1.351124043231174
269.5,5.681370158911839,1.3531927594061557
269.51,5.686227252194795,1.3468859047207797
269.52,5.691125355439149,1.3445185006305802
269.53,5.696032498009915,1.3430558358802136
269.54,5.700941562184434,1.3426493176255017
269.55,5.705847737571264,1.342494766314535
269.56,5.710756694947385,1.34218987057472
269.57,5.715666960856852,1.3420213125204006
269.58,5.720595225731817,1.3413701060446832
269.59,5.725495812448759,1.3393020828719064
269.6,5.730407036205585,1.3387412445980726
269.61,5.735322054857303,1.3392357882660857
269.61,5.740236646094998,1.3396720922288978
269.63,5.745150881194304,1.3400248161940937
269.64,5.750060771559636,1.34048991991987
269.65,5.754975299254302,1.3407841303007557
269.65,5.7598889223542145,1.3413834630618227
269.67,5.7648037251144,1.3414471040495903
269.68,5.769719116351558,1.3414643587102335
269.68,5.774634649331639,1.341488548213886
269.7,5.7795503151820435,1.3415197684872193
269.71,5.784466109488314,1.3415517971982416
269.72,5.789382035395531,1.3415822502156187
269.73,5.794298100447075,1.3416106626471
269.74,5.799214314176249,1.341637223368596
269.75,5.804130685040207,1.3416620880763876
269.76,5.809047219204947,1.3416852656363665
269.77,5.813963920735224,1.341706696217894
269.78,5.818880792240039,1.3417263273786901
269.78,5.823797835407078,1.3417441443599283
269.8,5.828715051301698,1.3417601714594276
269.81,5.833632440703073,1.3417744736739408
269.82,5.83855000388864,1.341787133335329
269.83,5.843467740563347,1.3417982541812854
269.83,5.848385650030276,1.3418079625685082
269.85,5.853303731190689,1.3418164072872827
269.86,5.8582219825311,1.3418237608716959
269.87,5.8631404021071996,1.3418302209923463
269.88,5.868058987525951,1.341836011623109
